date	site	transect	species	condition
2015-06-23	HBN1	3	SSID	PBUR, PD
2015-06-30	HBN1	3	SSID	PD
2015-07-09	HBN1	3	SSID	PD
2015-07-13	HBN1	3	SSID	PD
2013-10-20	HBN2	1	PAST	M
2013-10-22	HBN2	1	PAST	M
2013-11-01	HBN2	1	PAST	FB
2013-11-07	HBN2	1	PAST	NA
2013-11-23	HBN2	1	PAST	PE, SA
2013-12-11	HBN2	1	PAST	M, SA
2014-01-06	HBN2	1	PAST	PBUR
2014-01-15	HBN2	1	PAST	SA, SA
2014-01-27	HBN2	1	PAST	BUR
2014-02-07	HBN2	1	PAST	P, SED
2014-02-17	HBN2	1	PAST	FB, M, SED
2014-02-22	HBN2	1	PAST	SA, M
2014-03-06	HBN2	1	PAST	SA, M
2014-03-09	HBN2	1	PAST	SA, PB
2014-03-12	HBN2	1	PAST	M
2014-03-21	HBN2	1	PAST	M, PE, SED
2014-03-24	HBN2	1	PAST	M, PE, SED
2014-04-19	HBN2	1	PAST	SA, M
2014-04-24	HBN2	1	PAST	M, SA
2014-05-03	HBN2	1	PAST	SA, FB
2014-05-04	HBN2	1	PAST	SA, FB
2014-05-07	HBN2	1	PAST	SA, FB
2014-05-25	HBN2	1	PAST	SA, FB, M
2014-05-26	HBN2	1	PAST	SA, M
2014-05-29	HBN2	1	PAST	SA
2014-05-30	HBN2	1	PAST	NONE
2014-06-06	HBN2	1	PAST	SA, M
2014-06-14	HBN2	1	PAST	SA, M
2014-06-19	HBN2	1	PAST	MIS
2014-06-23	HBN2	1	PAST	M, SA, PBUR
2014-07-14	HBN2	1	PAST	SA, P, PE
2014-07-29	HBN2	1	PAST	PE, SA
2014-09-11	HBN2	1	PAST	PB, SA
2014-09-22	HBN2	1	PAST	P, PB
2015-01-22	HBN2	1	PAST	DEAD
2015-06-23	HBN2	1	PAST	PE, UPM
2015-06-30	HBN2	1	PAST	PE
2015-07-09	HBN2	1	PAST	PE, SED
2015-07-14	HBN2	1	PAST	PE
2013-10-20	HBN2	1	PAST	SA
2013-10-22	HBN2	1	PAST	M
2013-11-01	HBN2	1	PAST	SA
2013-11-07	HBN2	1	PAST	NA
2013-11-23	HBN2	1	PAST	PE, SA
2013-12-11	HBN2	1	PAST	PBUR, PE, SA
2014-01-06	HBN2	1	PAST	SA
2014-01-15	HBN2	1	PAST	SA, SA
2014-01-27	HBN2	1	PAST	SA, M
2014-02-07	HBN2	1	PAST	M, SED
2014-02-17	HBN2	1	PAST	SA, PBUR
2014-02-22	HBN2	1	PAST	NONE
2014-03-06	HBN2	1	PAST	SA
2014-03-09	HBN2	1	PAST	SA
2014-03-12	HBN2	1	PAST	SA, PBUR
2014-03-21	HBN2	1	PAST	PE, SED
2014-03-24	HBN2	1	PAST	PE, SED
2014-04-19	HBN2	1	PAST	SA, M
2014-04-24	HBN2	1	PAST	SA
2014-05-03	HBN2	1	PAST	SA, PE
2014-05-04	HBN2	1	PAST	SA
2014-05-07	HBN2	1	PAST	SA
2014-05-25	HBN2	1	PAST	SA, M
2014-05-26	HBN2	1	PAST	SA, M
2014-05-29	HBN2	1	PAST	SA, M
2014-05-30	HBN2	1	PAST	M, SED
2014-06-06	HBN2	1	PAST	SA, PM
2014-06-14	HBN2	1	PAST	SA
2014-06-19	HBN2	1	PAST	SA
2014-06-23	HBN2	1	PAST	SA, PBUR
2014-07-14	HBN2	1	PAST	SA, FB, PE
2014-07-29	HBN2	1	PAST	PE, M, P
2014-09-11	HBN2	1	PAST	PE, PB, P, SA
2014-09-22	HBN2	1	PAST	P, PB
2015-01-22	HBN2	1	PAST	SA, PBUR
2015-06-23	HBN2	1	PAST	PE, SED
2015-06-30	HBN2	1	PAST	PE
2015-07-09	HBN2	1	PAST	P
2015-07-14	HBN2	1	PAST	M, SA
2013-10-20	HBN2	1	PAST	FB, SA
2013-10-22	HBN2	1	PAST	FB
2013-11-01	HBN2	1	PAST	FB
2013-11-07	HBN2	1	PAST	M
2013-11-23	HBN2	1	PAST	PE, SA
2013-12-11	HBN2	1	PAST	PE, SA
2014-01-06	HBN2	1	PAST	SA
2014-01-15	HBN2	1	PAST	SA, SA
2014-01-27	HBN2	1	PAST	SED
2014-02-07	HBN2	1	PAST	M, SED
2014-02-17	HBN2	1	PAST	SED
2014-02-22	HBN2	1	PAST	SA
2014-03-06	HBN2	1	PAST	NONE
2014-03-09	HBN2	1	PAST	SA, M
2014-03-12	HBN2	1	PAST	SA
2014-03-21	HBN2	1	PAST	SA, PE
2014-03-24	HBN2	1	PAST	PE, SED
2014-04-19	HBN2	1	PAST	FB, M, P, SED
2014-04-24	HBN2	1	PAST	M, SA
2014-05-03	HBN2	1	PAST	PD
2014-05-04	HBN2	1	PAST	PD, SA
2014-05-07	HBN2	1	PAST	SA, PD
2014-05-25	HBN2	1	PAST	MIS
2014-05-26	HBN2	1	PAST	MIS
2014-05-29	HBN2	1	PAST	MIS
2014-05-30	HBN2	1	PAST	MIS
2014-06-06	HBN2	1	PAST	MIS
2014-06-14	HBN2	1	PAST	MIS
2014-06-19	HBN2	1	PAST	MIS
2014-06-23	HBN2	1	PAST	MIS
2014-07-14	HBN2	1	PAST	MIS
2014-07-29	HBN2	1	PAST	MIS
2014-09-11	HBN2	1	PAST	MIS
2014-09-22	HBN2	1	PAST	MIS
2015-01-22	HBN2	1	PAST	MIS
2015-06-23	HBN2	1	PAST	MIS
2015-06-30	HBN2	1	PAST	MIS
2015-07-09	HBN2	1	PAST	MIS
2015-07-14	HBN2	1	PAST	MIS
2013-10-20	HBN2	1	SBOU	NA
2013-10-22	HBN2	1	SBOU	NA
2013-11-01	HBN2	1	SBOU	PE
2013-11-07	HBN2	1	SBOU	PE, SA
2013-11-23	HBN2	1	SBOU	PE, SA
2013-12-11	HBN2	1	SBOU	PE
2014-01-06	HBN2	1	SBOU	PE, PBUR
2014-01-15	HBN2	1	SBOU	SA, PE, PE, SA
2014-01-27	HBN2	1	SBOU	SA, PE
2014-02-07	HBN2	1	SBOU	PE, P, SED
2014-02-17	HBN2	1	SBOU	SA, PE
2014-02-22	HBN2	1	SBOU	PE
2014-03-06	HBN2	1	SBOU	SA, M, PE
2014-03-09	HBN2	1	SBOU	SA, PE
2014-03-12	HBN2	1	SBOU	PBUR, PE, SED
2014-03-21	HBN2	1	SBOU	PE, SED
2014-03-24	HBN2	1	SBOU	PBUR, PE
2014-04-19	HBN2	1	SBOU	SA, PE, UD
2014-04-24	HBN2	1	SBOU	UD, SA
2014-05-03	HBN2	1	SBOU	UD, PE
2014-05-04	HBN2	1	SBOU	PE, SA, UD
2014-05-07	HBN2	1	SBOU	SA, UD
2014-05-25	HBN2	1	SBOU	SA, PE
2014-05-26	HBN2	1	SBOU	SA, PE
2014-05-29	HBN2	1	SBOU	PE, SED
2014-05-30	HBN2	1	SBOU	SA, M, PE
2014-06-06	HBN2	1	SBOU	PE, SED
2014-06-14	HBN2	1	SBOU	SA, PE, UD
2014-06-19	HBN2	1	SBOU	PE, P, PBUR, SA
2014-06-23	HBN2	1	SBOU	UD, SED, PM
2014-07-14	HBN2	1	SBOU	PE, SED, UD
2014-07-29	HBN2	1	SBOU	NONE
2014-09-11	HBN2	1	SBOU	UD, PE
2014-09-22	HBN2	1	SBOU	PE, P
2015-01-22	HBN2	1	SBOU	SA
2015-06-23	HBN2	1	SBOU	PE, UPM
2015-06-30	HBN2	1	SBOU	UPM, PE
2015-07-09	HBN2	1	SBOU	UPM, P, PE
2015-07-14	HBN2	1	SBOU	PE, UPM
2013-10-20	HBN2	1	SSID	M
2013-10-22	HBN2	1	SSID	NA
2013-11-01	HBN2	1	SSID	NA
2013-11-07	HBN2	1	SSID	NA
2013-11-23	HBN2	1	SSID	PB, SA
2013-12-11	HBN2	1	SSID	BUR
2014-01-06	HBN2	1	SSID	PBUR
2014-01-15	HBN2	1	SSID	BUR, BUR
2014-01-27	HBN2	1	SSID	BUR
2014-02-07	HBN2	1	SSID	PBUR
2014-02-17	HBN2	1	SSID	BUR
2014-02-22	HBN2	1	SSID	FB
2014-03-06	HBN2	1	SSID	MIS
2014-03-09	HBN2	1	SSID	PBUR
2014-03-12	HBN2	1	SSID	PBUR
2014-03-21	HBN2	1	SSID	BUR
2014-03-24	HBN2	1	SSID	PBUR
2014-04-19	HBN2	1	SSID	SA, P, PE
2014-04-24	HBN2	1	SSID	SA
2014-05-03	HBN2	1	SSID	PD
2014-05-04	HBN2	1	SSID	PD
2014-05-07	HBN2	1	SSID	PD
2014-05-25	HBN2	1	SSID	PD, SED
2014-05-26	HBN2	1	SSID	SA, PD
2014-05-29	HBN2	1	SSID	PD, SED
2014-05-30	HBN2	1	SSID	SA, PD
2014-06-06	HBN2	1	SSID	PD, SED
2014-06-14	HBN2	1	SSID	SA, PD
2014-06-19	HBN2	1	SSID	SA
2014-06-23	HBN2	1	SSID	PD, PBUR
2014-07-14	HBN2	1	SSID	SA, P
2014-07-29	HBN2	1	SSID	P
2014-09-11	HBN2	1	SSID	SA
2014-09-22	HBN2	1	SSID	P
2015-01-22	HBN2	1	SSID	SA, PBUR
2015-06-23	HBN2	1	SSID	PBUR
2015-06-30	HBN2	1	SSID	PBUR
2015-07-09	HBN2	1	SSID	P
2015-07-14	HBN2	1	SSID	NONE
2013-10-20	HBN2	2	ODIF	NA
2013-10-22	HBN2	2	ODIF	NA
2013-11-01	HBN2	2	ODIF	NA
2013-11-07	HBN2	2	ODIF	NA
2013-11-23	HBN2	2	ODIF	PE, PBUR
2013-12-11	HBN2	2	ODIF	PBUR, SA
2014-01-06	HBN2	2	ODIF	PBUR
2014-01-15	HBN2	2	ODIF	PBUR, PBUR
2014-01-27	HBN2	2	ODIF	PBUR
2014-02-07	HBN2	2	ODIF	PBUR
2014-02-17	HBN2	2	ODIF	PBUR, PE
2014-02-22	HBN2	2	ODIF	SED
2014-03-06	HBN2	2	ODIF	PBUR
2014-03-09	HBN2	2	ODIF	PBUR
2014-03-12	HBN2	2	ODIF	SA, PE
2014-03-21	HBN2	2	ODIF	PBUR
2014-03-24	HBN2	2	ODIF	PBUR, PE
2014-04-19	HBN2	2	ODIF	SA, PE
2014-04-24	HBN2	2	ODIF	SA, PBUR
2014-05-03	HBN2	2	ODIF	PE, SED
2014-05-04	HBN2	2	ODIF	PE, SA, PBUR
2014-05-07	HBN2	2	ODIF	SA
2014-05-25	HBN2	2	ODIF	SA, PE
2014-05-26	HBN2	2	ODIF	SA
2014-05-29	HBN2	2	ODIF	SA
2014-05-30	HBN2	2	ODIF	NONE
2014-06-06	HBN2	2	ODIF	MIS
2014-06-14	HBN2	2	ODIF	MIS
2014-06-19	HBN2	2	ODIF	MIS
2014-06-23	HBN2	2	ODIF	MIS
2014-07-14	HBN2	2	ODIF	MIS
2014-07-29	HBN2	2	ODIF	MIS
2014-09-11	HBN2	2	ODIF	MIS
2014-09-22	HBN2	2	ODIF	MIS
2015-06-23	HBN2	2	ODIF	MIS
2015-06-30	HBN2	2	ODIF	MIS
2015-07-09	HBN2	2	ODIF	MIS
2015-07-14	HBN2	2	ODIF	MIS
2013-10-20	HBN2	2	PAST	NA
2013-10-22	HBN2	2	PAST	NA
2013-11-01	HBN2	2	PAST	NA
2013-11-07	HBN2	2	PAST	NA
2013-11-23	HBN2	2	PAST	PE, SA
2013-12-11	HBN2	2	PAST	PE, SA
2014-01-06	HBN2	2	PAST	SA
2014-01-15	HBN2	2	PAST	SA, SED
2014-01-27	HBN2	2	PAST	SA, M
2014-02-07	HBN2	2	PAST	M, SED
2014-02-17	HBN2	2	PAST	SED
2014-02-22	HBN2	2	PAST	M
2014-03-06	HBN2	2	PAST	SED
2014-03-09	HBN2	2	PAST	SA, M
2014-03-12	HBN2	2	PAST	PBUR, M
2014-03-21	HBN2	2	PAST	PE, SED
2014-03-24	HBN2	2	PAST	SA, PE
2014-04-19	HBN2	2	PAST	SA, M, PE
2014-04-24	HBN2	2	PAST	SA
2014-05-03	HBN2	2	PAST	PE, SA
2014-05-04	HBN2	2	PAST	SA, FB
2014-05-07	HBN2	2	PAST	SA, PE
2014-05-25	HBN2	2	PAST	SA, PE
2014-05-26	HBN2	2	PAST	SED
2014-05-29	HBN2	2	PAST	SED
2014-05-30	HBN2	2	PAST	SED
2014-06-06	HBN2	2	PAST	SA, PE
2014-06-14	HBN2	2	PAST	SA
2014-06-19	HBN2	2	PAST	SED
