reef	dir	dist	dist_actual	site	site0	transect	meter_mark	sdepth_cm	stype
HB	S	150	150	HBS	HBS-15b-150	EW	18	1.4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	19	1	NA
HB	S	150	150	HBS	HBS-15b-150	EW	20.2	0.1	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	21	0.2	NA
HB	S	150	150	HBS	HBS-15b-150	EW	22	0.1	NA
HB	S	150	150	HBS	HBS-15b-150	EW	23	2	NA
HB	S	150	150	HBS	HBS-15b-150	EW	24	2.3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	25	0.7	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	26	0.8	NA
HB	S	150	150	HBS	HBS-15b-150	EW	27	0.4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	28	0.4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	29	0.3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	30	0.3	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	31	0.2	NA
HB	S	150	150	HBS	HBS-15b-150	EW	32	1.4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	33	4	NA
HB	S	150	150	HBS	HBS-15b-150	EW	34	2.8	NA
HB	S	150	150	HBS	HBS-15b-150	EW	35	1.5	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	36.5	6.1	NA
HB	S	150	150	HBS	HBS-15b-150	EW	37	6.5	NA
HB	S	150	150	HBS	HBS-15b-150	EW	38	0.3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	39	3	NA
HB	S	150	150	HBS	HBS-15b-150	EW	40	0.3	Mixed
HB	S	150	150	HBS	HBS-15b-150	EW	41	5.7	NA
HB	S	150	150	HBS	HBS-15b-150	EW	42	7.5	NA
HB	S	150	150	HBS	HBS-15b-150	EW	43	7	NA
HB	S	150	150	HBS	HBS-15b-150	EW	44	5	NA
