Date,Week,Visit,Surveyor,Site,N Site,Transect,N Transect,Coral ID,Species,Condition Code,Condition Score_calc,Sediment stress,Coral w/ Sed Stress,Proportion w/ sed stress/site,Proportion Stressed Transect,Proportion  Stressed Site,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,1,SSID,SED,0,,,,0.14,0.04,,6,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,2,SINT,SED,0,,,,0.14,0.04,,,,
4/25/15,IA1,,AS,R3NC1-LR,24,1,7,3,SINT,SED,,,,,,,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,3,SINT,P,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,4,DSTR,SED,0,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,4,DSTR,WP,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,5,MMEA,DEAD,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,6,MMEA,DEAD,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,1,7,7,SBOU,P,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,1,SBOU,SED,0,,,,0.14,0.04,,7,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,1,SBOU,UC,1,,,,0.14,0.04,,8,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,1,SBOU,CM,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,2,PAST,SA,1,1,1.0,0.041666667,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,3,SBOU,P,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,4,SINT,SED,0,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,5,PAST,M,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,5,PAST,SED,0,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,5,PAST,FB,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,6,SSID,SED,0,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,6,SSID,CM,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,2,7,7,MMEA,DEAD,1,,,,0.14,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,1,SSID,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,1,SSID,UPM,1,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,2,SINT,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,3,SBOU,DEAD,1,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,4,CNAT,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,4,CNAT,WP,1,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,5,MMEA,P,1,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,6,PAST,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,7,SSID,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,7,SSID,P,1,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,8,SINT,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,9,PPOR,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3NC1-LR,24,3,10,10,SINT,SED,0,,,,0.10,0.04,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,1,SBOU,DEAD,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,2,SSID,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,3,SSID,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,4,PAST,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,4,PAST,P,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,5,PAST,M,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,5,PAST,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,1,6,6,PAST,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,1,DSTO,DEAD,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,2,SSID,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,3,MMEA,DEAD,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,4,MCAV,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,4,MCAV,UPM,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,4,MCAV,P,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,5,MMEA,P,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,6,MCAV,UPM,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,6,MCAV,SED,0,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,2,6,6,MCAV,P,1,,,,0.17,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,1,PAST,M,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,1,PAST,SA,1,1,1.0,0.052631579,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,2,MMEA,DEAD,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,3,PAST,P,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,4,PAST,M,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,4,PAST,SA,1,1,1.0,0.052631579,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,5,SSID,M,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,5,SSID,SA,1,1,1.0,0.052631579,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,6,PAST,M,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,6,PAST,SA,1,1,1.0,0.052631579,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,6,PAST,CD,1,,,,0.14,0.05,,,,
4/26/15,IA1,,AS,R3S1-CP,19,3,7,7,PAST,NONE,0,,,,0.14,0.05,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,1,MMEA,DEAD,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,2,ACER,WB,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,3,ACER,DEAD,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,4,MMEA,DEAD,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,5,DSTO,DEAD,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,6,ACER,DEAD,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,1,7,7,MMEA,DEAD,1,,,,0.14,0.04,,,,
5/19/15,IA2,,AS,R2SC2-LR,25,2,8,1,MMEA,DEAD,1,,,,0.13,0.04,,,,
